Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
Netherlands Water Partnership,nwp,Foundation,25,100.0,74,66
Network for Africa,network4africa,International NGO,0,0.0,0,0
Network For Enterprise Enhancement and Development Support,needs,National NGO,0,0.0,0,0
New York University,nyu,"Academic, Training and Research",0,0.0,62,21
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,Government,100,32.0,81,71
NGO Federation of Nepal,nfn,National NGO,0,0.0,0,0
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),ngo-federatie,National NGO,12,0.0,0,4
Niger Delta Stakeholders Initiative for Community Development and Empowerment,ndsicde,National NGO,62,0.0,83,48
NKHOMA MISSION HOSPITAL,nmhiati,National NGO,0,0.0,0,0
NLR,nlr,International NGO,0,0.0,69,23
NLR Indonesia,nlr_indonesia,National NGO,12,0.0,0,4
Non-Timber Forest Products Exchange Programme,ntfp-ep,Regional NGO,12,100.0,76,63
Nonviolent Peaceforce South Sudan,npss,International NGO,75,0.0,76,50
Norad - Norwegian Agency for Development Cooperation,norad,Government,25,8.0,80,38
NORSAAC,norsaac,National NGO,0,0.0,48,16
Northern Ireland Cooperation Overseas Ltd,nico,Other Public Sector,38,0.0,0,13
Northern Network for Education Development,nned,National NGO,0,0.0,58,19
Northern Rangelands Trust,nrt-kenya,National NGO,0,0.0,0,0
Norwegian People's Aid,npa,International NGO,75,0.0,86,54
Norwegian Refugee Council,nrc,International NGO,75,50.0,66,64
"NpM, Platform for Inclusive Finance",npm,National NGO,0,0.0,70,23
Nuffic,nuffic20171017,"Academic, Training and Research",62,17.0,66,48
Nutrition International,nutritionintl,International NGO,88,0.0,0,29
OCHA Country Based Pooled Funds,unocha-cbpf,Multilateral,100,96.0,88,95
ODI,odi,"Academic, Training and Research",38,100.0,83,74
ODI Sales Limited,odi_sales_ltd,"Academic, Training and Research",0,0.0,0,0
OECD,oecd,Multilateral,50,0.0,76,42
Office for National Statistics,ons,Government,12,0.0,67,26
Okapi Consulting,okapiconsulting,International NGO,0,0.0,48,16
Olamma Cares Foundation,olammacares,National NGO,0,0.0,62,21
One Acre Fund,oneacrefund,International NGO,0,3.6666666666666665,60,21
One to One Children's Fund,onetoonecf,International NGO,0,0.0,0,0
One Young World,oyw,National NGO,0,0.0,62,21
ONG ALCRER,alcrer-1,National NGO,62,0.0,85,49
Open Capital Advisors,oca,Private Sector,12,0.0,77,30
openmindedly,openmindedly,Private Sector,0,0.0,0,0
OpenNorth,opennorth,International NGO,0,0.0,0,0
Opportunity International Savings and Loans Ltd,oisl_gh,Private Sector,0,0.0,71,24
Opportunity International UK,opportunity-international-uk,International NGO,38,0.0,71,36
Options Consultancy Services,options,Private Sector,75,89.0,84,83
Orbis Africa,orbis_africa,International NGO,0,0.0,0,0
Orbis Charitable Trust,orbis_uk,International NGO,75,33.333333333333336,93,67
Orbis Ethiopia,orbis_ethiopia,National NGO,62,0.0,92,51
Orbis International,orbis_international,International NGO,75,33.333333333333336,86,65
OurLoop Stitchting,loop,Foundation,62,0.0,71,44
Oxfam America,oxfamus,International NGO,0,0.0,61,20
Oxfam Australia,oau,International NGO,25,0.0,68,31
Oxfam GB,oxfamgb,International NGO,62,0.0,73,45
Oxfam IBIS,ibis_denmark,International NGO,62,0.0,48,37
Oxfam India,oxfamindia,National NGO,0,0.0,0,0
Oxfam Intermón,oxfamintermon,International NGO,0,0.0,72,24
Oxfam Novib,onl,International NGO,100,14.0,83,66
Oxfam Solidarité-Solidariteit,oxsol,National NGO,75,0.0,0,25
Oxfam Wereldwinkels,oww,National NGO,0,0.0,0,0
Oxfam-Magasins du monde (omdm),omdm,National NGO,25,0.0,0,8
Oxfam-Quebec,oqc,International NGO,38,0.0,86,41
Oxford Policy Management,opml,Private Sector,25,72.33333333333333,67,55
Pact,pact,International NGO,50,0.0,68,39
Palladium Europe,palladium_eur,Private Sector,62,0.0,74,45
Palladium International Ltd (UK),palladium,Private Sector,75,9.0,76,53
Palliative Care Association of Malawi,pacam,National NGO,25,0.0,0,8
Palliative Care Support Trust,pcst,National NGO,25,0.0,74,33
Pan African Climate Justice Alliance,pacja,International NGO,12,20.0,69,34
Panos Institute West Africa (PIWA),ipao,International NGO,0,0.0,54,18
Paradigm Initiative,paradigm,International NGO,12,0.0,0,4
Partnership for African Social & Governance Research (PASGR),pasgr,"Academic, Training and Research",50,0.0,0,17
partos,partos_nl,National NGO,0,0.0,75,25
Pastoralist Girls Initiative,pgi_kenya,National NGO,38,0.0,66,35
PATH,_path_,International NGO,62,11.0,69,47
Pathfinder International,pathfinder1,International NGO,38,33.333333333333336,75,49
PAX,pax,International NGO,88,31.666666666666668,79,66
Peace Brigades International,pbi_io,International NGO,0,33.333333333333336,62,32
Peace Direct,peacedirect,International NGO,25,33.333333333333336,83,47
PEAS (Promoting Equality in African Schools),peas,International NGO,25,0.0,59,28
Penal Reform International,pri,International NGO,12,0.0,74,29
People In Aid,peopleinaid,International NGO,0,0.0,74,25
People in Need,pin,International NGO,62,0.0,64,42
People's Process on Housing and Poverty in Zambia,pphpz,International NGO,0,0.0,62,21
PHASE Nepal,phase-nepal,National NGO,0,0.0,0,0
PHASE Worldwide,phase_worldwide,International NGO,25,0.0,74,33
Plan International Belgium,pib,National NGO,12,0.0,0,4
Plan International Finland,planinternationalfinland,International NGO,0,0.0,0,0
Plan International Netherlands,plannlno,International NGO,88,0.0,82,57
Plan International UK,plan_uk,International NGO,88,12.0,69,56
Plan International USA,plan_usa,International NGO,0,0.0,74,25
Plan Ireland Charitable Assistance Limited,plan_ireland,International NGO,0,0.0,0,0
PlanBørnefonden,plb,International NGO,62,33.333333333333336,62,52
PONT,pont,International NGO,0,0.0,0,0
Pontis Foundation,pontis,Foundation,0,0.0,0,0
Population Media Center,pmc,International NGO,0,0.0,64,21
Population Service International,psi,International NGO,62,0.0,75,46
Population Services Kenya,pskenya_19,National NGO,0,0.0,66,22
PositiveNegatives,posneg,Other Public Sector,0,0.0,71,24
Power International,power,International NGO,0,0.0,71,24
PPAG,ppag_123,National NGO,12,0.0,0,4
PRACTICA Foundation,practica,Foundation,0,0.0,0,0
Practical Action,pa,International NGO,75,55.666666666666664,73,68
Pragya India,pragya,National NGO,0,0.0,0,0
PRI Association,pri_icf,"Academic, Training and Research",0,0.0,0,0
PricewaterhouseCoopers Private Limited India,pwcplindia,Private Sector,75,0.0,74,50
Prince Claus Fund,pcf,International NGO,0,0.0,70,23
Private Infrastructure Development Group,pidg,Multilateral,12,0.0,80,31
Programming Their Future,p-t-f-,"Academic, Training and Research",25,0.0,0,8
Progressio (closed),progressio,International NGO,0,0.0,46,15
Project Harar,phe,International NGO,0,0.0,0,0
Promundo-US,pmo-us,International NGO,12,0.0,80,31
Protecting Families Against HIV/AIDS,prefa_1,National NGO,0,0.0,83,28
Protos,protos,National NGO,62,0.0,85,49
Publish What You Fund,pwyf,International NGO,75,0.0,65,47
PUM Netherlands,pumnl,International NGO,62,0.0,0,21
Pump Aid,pumpaid,International NGO,0,0.0,87,29
PwC,pwc,Private Sector,75,50.0,73,66
Queen Rania Foundation for Education and Development,qrfed,National NGO,0,0.0,59,20
Quinoa,quinoa,National NGO,0,0.0,0,0
Rabo Partnerships,rabo_partnerships,Private Sector,0,9.666666666666666,66,25
Radio La Benevolencija,rlb,International NGO,0,33.333333333333336,89,41
Rahnuma-Family Planning Assocation of Pakistan,rfpap,National NGO,0,0.0,0,0
Railway Children,rc,International NGO,25,0.0,73,33
Railway Children Africa,rc2africa,National NGO,0,0.0,0,0
RAIN Foundation (former),rainfoundation,International NGO,12,0.0,78,30
Rainforest Action Network,ran,International NGO,25,0.0,0,8
Rainforest Foundation UK,rfuk,International NGO,62,0.0,71,44
Raleigh International,raleigh_int,International NGO,62,0.0,78,47
RCN Justice & Démocratie,rcn,National NGO,38,0.0,79,39
Reach A Hand Uganda,rahuug,National NGO,0,0.0,0,0
Red Cross Red Crescent Climate Centre,climate_centre,International NGO,12,0.0,0,4
RedR UK,redruk,International NGO,25,0.0,0,8
Regional Advisory Information and Network Systems,rains,National NGO,25,0.0,71,32
"Rehabilitation, Education and Community Health (REACH)",reach-iraq,National NGO,0,0.0,60,20
Relief International UK,ri-uk,International NGO,62,0.0,74,45
Rene Moawad Foundation,rmf-lb,National NGO,0,0.0,80,27
Republic of Korea,odakorea,Government,75,0.0,88,54
Resilience,resilience,"Academic, Training and Research",0,0.0,70,23
Resource Extraction Monitoring,rem,International NGO,0,0.0,0,0
Responsible Mining Foundation,rmf,Foundation,0,0.0,0,0
Restart Center,restartcenter,National NGO,0,0.0,54,18
Restless Development,restless,International NGO,0,33.333333333333336,80,38
Results for Development,r4d,International NGO,25,33.333333333333336,69,42
Retrak,retrak,International NGO,0,0.0,0,0
Right to Play Netherlands Foundation,rtp,International NGO,0,0.0,0,0
Rights and Resources Initaitive,rri,International NGO,25,0.0,63,29
Rikolto,rikolto,Foundation,25,0.0,0,8
Rikolto in Belgium,rikolto_belgium,National NGO,0,0.0,0,0
Rocky Mountain Institute,rmi,International NGO,25,0.0,76,34
Rode Kruis-Vlaanderen Internationaal vzw,rkiv,National NGO,12,0.0,0,4
Rojiroti UK,rojiroti,International NGO,0,0.0,0,0
Rotary Clubs For Development,rc4d,National NGO,0,0.0,0,0
Royal College of General Practitioners (RCGP),rcgp-international,National NGO,0,0.0,0,0
Royal College of Obstetricians & Gynaecologists,rcog_resilience_in_obstetric_skills,"Academic, Training and Research",0,0.0,60,20
Royal Commonwealth Ex-Sevices League,rcel,International NGO,75,66.66666666666667,80,74
Royal National Lifeboat Institution (RNLI),rnli_international,International NGO,25,0.0,82,36
Royal Netherlands Football Association,knvb,Other Public Sector,0,0.0,0,0
Royal Society for the Protection of Birds,rspb_,International NGO,0,0.0,0,0
Royal Tropical Institute,kit,International NGO,62,42.0,76,60
RUAF Foundation,ruaf,Foundation,0,0.0,78,26
Rutgers,rutgers,International NGO,25,0.0,78,34
Sabre Education Limited,sct,International NGO,50,0.0,74,41
Saferworld,saferworld,International NGO,62,0.0,82,48
Samaritan's Purse UK,spuk,International NGO,0,0.0,86,29
Sana'a Center for Strategic Studies,scss,National NGO,62,0.0,80,47
